ari_mean,ari_std,group,hp_bfs_frac,hp_d,hp_d_e,hp_e_wd,hp_frac_seeds,hp_label_smoothing,hp_likelihood,hp_lr,hp_max_iterations,hp_max_k,hp_u_norm,hp_u_scale,hp_u_scale_init,hungarian_best_minus_last,hungarian_mean,hungarian_std,last_hungarian_mean,last_hungarian_std,method,n_seeds,nmi_mean,nmi_std,selected_by_val,selection_val_metric
0.6756562726401754,0.005929084762025879,,,729,,,0.1,,,0.0,12,729,,,,,30654.5,24.748737341529164,,,ntac,2,0.8784142344285063,0.001537311121558086,,-0.48031294345855713
0.5219880854045242,0.04034895840109618,lv,1.0,512,,,,0.0,bernoulli,0.03,,,unit,fixed,16.0,-61.33333333333576,25095.333333333332,911.5790329605729,25156.666666666668,995.6105329562024,lv,3,0.8279787002075709,0.007109760441865022,True,0.980572998
0.041720747684306725,0.002471928733242672,,1.0,64,16,0.01,,,poisson,0.05,,,,,,,5216.333333333333,89.19828099987878,,,lv_e,3,0.37294814312674696,0.001916044095865381,,-1.3974456429669562
0.008135353540161419,0.0026461616047615,,,32,,,,,,0.01,,,,,,,1355.0,88.8313007897554,,,pca,3,0.22472713978874728,0.008042874279872768,,-53.90571492359622
